ref	vachno	title	url	note
Gadhada I-1	1	Continuously Engaging One's Mind on God	https://anirdesh.com/vachanamrut/index.php?format=en&vachno=1	
Gadhada I-2	2	Three Levels of Vairagya	https://anirdesh.com/vachanamrut/index.php?format=en&vachno=2	
Gadhada I-3	3	Remembering the Divine Actions and Incidents of God	https://anirdesh.com/vachanamrut/index.php?format=en&vachno=3	
Gadhada I-4	4	Jealousy like that of Naradji	https://anirdesh.com/vachanamrut/index.php?format=en&vachno=4	
Gadhada I-5	5	Persistence in Meditation	https://anirdesh.com/vachanamrut/index.php?format=en&vachno=5	
Gadhada I-6	6	One with Wisdom and One without Wisdom	https://anirdesh.com/vachanamrut/index.php?format=en&vachno=6	
Gadhada I-7	7	Anvay-Vyatirek	https://anirdesh.com/vachanamrut/index.php?format=en&vachno=7	
Gadhada I-8	8	Engaging the Indriyas in the Service of God and His Sant	https://anirdesh.com/vachanamrut/index.php?format=en&vachno=8	
Gadhada I-9	9	Desiring Nothing Except God	https://anirdesh.com/vachanamrut/index.php?format=en&vachno=9	
Gadhada I-10	10	The Ungrateful Sevakram	https://anirdesh.com/vachanamrut/index.php?format=en&vachno=10	
Gadhada I-11	11	Vasana; An Ekantik Bhakta	https://anirdesh.com/vachanamrut/index.php?format=en&vachno=11	
Gadhada I-12	12	The Attributes of the Elements; Creation	https://anirdesh.com/vachanamrut/index.php?format=en&vachno=12	
Gadhada I-13	13	Planting the Branch of a Banyan or Pipal Tree Elsewhere	https://anirdesh.com/vachanamrut/index.php?format=en&vachno=13	
Gadhada I-14	14	"Ante Ya Matihi Sa Gatihi"	https://anirdesh.com/vachanamrut/index.php?format=en&vachno=14	
Gadhada I-15	15	Not Becoming Discouraged in Meditation	https://anirdesh.com/vachanamrut/index.php?format=en&vachno=15	
Gadhada I-16	16	Wisdom	https://anirdesh.com/vachanamrut/index.php?format=en&vachno=16	
Gadhada I-17	17	Negative Influence in Satsang; Not Uttering Discouraging Words	https://anirdesh.com/vachanamrut/index.php?format=en&vachno=17	
Gadhada I-18	18	Denouncing the Vishays; A Haveli	https://anirdesh.com/vachanamrut/index.php?format=en&vachno=18	
